BRITH_YEAR,GENDER,ETHNICTY,NAME,COUNT,RANK
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,GERALDINE,13,75
2012,FEMALE,BLACK NON HISPANIC,GIA,21,67
2011,FEMALE,WHITE NON HISP,GIANNA,49,42
2012,FEMALE,WHITE NON HISPANIC,GISELLE,38,51
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,GRACE,36,53
2014,FEMALE,BLACK NON HISPANIC,GUADALUPE,26,62
2011,FEMALE,ASIAN AND PACI,HAILEY,126,8
2011,FEMALE,BLACK NON HISP,HALEY,14,74
2012,FEMALE,WHITE NON HISP,HANNAH,17,71
2013,FEMALE,WHITE NON HISPANIC,HAYLEE,17,71
2014,FEMALE,ASIAN AND PACIFIC ISLANDER,HAYLEY,13,75
2012,FEMALE,ASIAN AND PACI,HAZEL,10,78
2013,FEMALE,BLACK NON HISP,HEAVEN,15,73
2014,FEMALE,HISPANIC,HEIDI,15,73